status,private pool,propertyType,street,baths,homeFacts,fireplace,city,schools,sqft,zipcode,beds,state,stories,mls-id,PrivatePool,MlsId,target
for sale,,single-family home,2440 NW 31st Ave,,"{'atAGlanceFacts': [{'factValue': '1971', 'factLabel': 'Year built'}, {'factValue': '1972', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Off Street', 'factLabel': 'Parking'}, {'factValue': '6,200 sqft', 'factLabel': 'lotsize'}, {'factValue': '$162/sqft', 'factLabel': 'Price/sqft'}]}",,Fort Lauderdale,"[{'rating': ['3/10', '3/10', '1/10'], 'data': {'Distance': ['1.46mi', '0.68mi', '0.95mi'], 'Grades': ['9-12', '6-8', 'PK-5']}, 'name': ['Boyd H. Anderson High School', 'William Dandy Middle School', 'Rock Island Elementary School']}]",988 sqft,33311,3 Beds,FL,1.0,,,A10774196,"$159,900"
,,Condo,601 NE 36th St APT 709,3.0,"{'atAGlanceFacts': [{'factValue': '2005', 'factLabel': 'Year built'}, {'factValue': '2005', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Carport, Detached Garage', 'factLabel': 'Parking'}, {'factValue': None, 'factLabel': 'lotsize'}, {'factValue': None, 'factLabel': 'Price/sqft'}]}",,Miami,"[{'rating': ['10/10', '2/10'], 'data': {'Distance': ['22.8 mi', '1.9 mi'], 'Grades': ['PK-8', '9-12']}, 'name': ['Air Base Elementary School', 'Booker T. Washington Senior High School']}]","1,158 sqft",33137,2,FL,33.0,,,,"$380,567"
for sale,,single-family home,654 W 112th St,2 Baths,"{'atAGlanceFacts': [{'factValue': '1941', 'factLabel': 'Year built'}, {'factValue': '1941', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '5,684 sqft', 'factLabel': 'lotsize'}, {'factValue': '$524/sqft', 'factLabel': 'Price/sqft'}]}",yes,Los Angeles,"[{'rating': ['None/10', '3/10', '1/10'], 'data': {'Distance': ['0.24mi', '0.24mi', '0.54mi'], 'Grades': ['K-1', 'K-5', '6-8']}, 'name': ['Washington Primary Center School', 'Figueroa Street Elementary School', 'Samuel Gompers Middle School']}]","1,241 sqft",90044,3 Beds,CA,1.0,,,SB19266862,"$650,000"
for sale,,condo,1520 Gulf Blvd #904,2 Baths,"{'atAGlanceFacts': [{'factValue': '1991', 'factLabel': 'Year built'}, {'factValue': '1996', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '', 'factLabel': 'lotsize'}, {'factValue': '$418/sqft', 'factLabel': 'Price/sqft'}]}",,Clearwater,"[{'rating': ['3/10', '6/10', '4/10'], 'data': {'Distance': ['4.02mi', '3.51mi', '3.17mi'], 'Grades': ['6-8', '9-12', 'PK-5']}, 'name': ['Largo Middle School', 'Largo High School', 'Mildred Helms Elementary School']}]","1,377 sqft",33767,2 Beds,FL,9.0,,yes,U8044432,"$575,000"
for sale,,single-family home,9825 Wedgewood Ln,4 Baths,"{'atAGlanceFacts': [{'factValue': '1981', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '0.48 acres', 'factLabel': 'lotsize'}, {'factValue': '$110/sqft', 'factLabel': 'Price/sqft'}]}",yes,Leesburg,"[{'rating': ['3/10', '2/10', '5/10'], 'data': {'Distance': ['6.5mi', '6.96mi', '0.8mi'], 'Grades': ['9-12', '6-8', 'PK-5']}, 'name': ['Leesburg High School', 'Oak Park Middle School', 'Treadway Elementary School']}]","5,196 sqft",34788,3 Beds,FL,,,yes,G5020665,"$569,900"
For sale,,Single Family,1745 Julian Ave,1.0,"{'atAGlanceFacts': [{'factValue': '1906', 'factLabel': 'Year built'}, {'factValue': '2006', 'factLabel': 'Remodeled year'}, {'factValue': 'Gas', 'factLabel': 'Heating'}, {'factValue': 'No Data', 'factLabel': 'Cooling'}, {'factValue': '4 spaces', 'factLabel': 'Parking'}, {'factValue': '5,466 sqft', 'factLabel': 'lotsize'}, {'factValue': '$666', 'factLabel': 'Price/sqft'}]}",,San Diego,"[{'rating': ['2/10', '3/10', '5/10'], 'data': {'Distance': ['0.5 mi', '0.9 mi', '0.6 mi'], 'Grades': ['K-5', '6-8', '9-12']}, 'name': ['Burbank Elementary School', 'Memorial Scholars & Athletes School', 'e3 Civic High School']}]",864,92113,3,CA,0,,,190061923,"$575,000"
Active,,Single Family Home,1883 Sebastian Dr,3.5,"{'atAGlanceFacts': [{'factValue': '2006', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': 'Central Air', 'factLabel': 'Cooling'}, {'factValue': 'Parking Type', 'factLabel': 'Parking'}, {'factValue': '9196', 'factLabel': 'lotsize'}, {'factValue': '$111', 'factLabel': 'Price/sqft'}]}",,Woodstock,"[{'rating': ['6', '4', '9', 'NR', '5', '9', 'NR', 'NR'], 'data': {'Distance': ['0.8 mi', '0.7 mi', '0.9 mi', '1.4 mi', '4.2 mi', '2.2 mi', '0.8 mi', '1.8 mi'], 'Grades': ['1–5', '6–8', '9–12', 'PK–12', '5–8', '9–12', '9–12', 'PK–8']}, 'name': ['Mary Endres Elementary School', 'Northwood Middle School', 'Woodstock North High School', 'Clay Academy School', 'Creekside Middle School', 'Woodstock High School', 'Marian Central Catholic Private School', 'St Mary Catholic Private School']}]",2437,60098,5.0,IL,2 Stories,,,10570790,"$269,900"
,,Single Family,19282 NW 89th Ave,3.0,"{'atAGlanceFacts': [{'factValue': '1991', 'factLabel': 'Year built'}, {'factValue': '1991', 'factLabel': 'Remodeled year'}, {'factValue': 'No Data', 'factLabel': 'Heating'}, {'factValue': 'No Data', 'factLabel': 'Cooling'}, {'factValue': 'No Data', 'factLabel': 'Parking'}, {'factValue': '5,924 sqft', 'factLabel': 'lotsize'}, {'factValue': None, 'factLabel': 'Price/sqft'}]}",,Hialeah,"[{'rating': ['3/10'], 'data': {'Distance': ['2.5 mi'], 'Grades': ['PK-12']}, 'name': ['American Senior High School']}]","1,990 sqft",33018,4,FL,2.0,,Yes,,"$418,429"
For sale,Yes,Condo,375 Mandarin Dr APT 104,Bathrooms: 1,"{'atAGlanceFacts': [{'factValue': '1974', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Electric', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '-- sqft lot', 'factLabel': 'lotsize'}, {'factValue': '$639', 'factLabel': 'Price/sqft'}]}",Yes,Daly City,"[{'rating': ['7/10', '6/10', '8/10'], 'data': {'Distance': ['0.5 mi', '0.8 mi', '1.3 mi'], 'Grades': ['K-5', '6-8', '9-12']}, 'name': ['Junipero Serra Elementary School', 'Alta Loma Middle School', 'El Camino High School']}]",Total interior livable area: 717 sqft,94015,1 bd,CA,0.0,ML81770501,,,"$458,000"
for sale,,condo,4045 68th St #2C,2 Baths,"{'atAGlanceFacts': [{'factValue': '2008', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '', 'factLabel': 'lotsize'}, {'factValue': '$765/sqft', 'factLabel': 'Price/sqft'}]}",,Flushing,"[{'rating': ['3/10', '3/10', '8/10', '6/10'], 'data': {'Distance': ['1.14mi', '1.14mi', '1.19mi', '0.27mi'], 'Grades': ['9-12', '9-12', '6-8', 'K-5']}, 'name': ['William Cullen Bryant High School', 'William Cullen Bryant High School', 'Is 125 Thomas J Mccann Woodside', 'Ps 12 James B Colgate']}]",876 sqft,11377,3 Beds,NY,,,,3187080,"$670,000"
