status,private pool,propertyType,street,baths,homeFacts,fireplace,city,schools,sqft,zipcode,beds,state,stories,mls-id,PrivatePool,MlsId,target
Active,,Condo/Townhome/Row Home/Co-Op,120 Sunny Shore Pl Lot 5,2,"{'atAGlanceFacts': [{'factValue': '2004', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Direct Vent Heater', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '1 - 4 Spaces, On Site', 'factLabel': 'Parking'}, {'factValue': '150718', 'factLabel': 'lotsize'}, {'factValue': '$205', 'factLabel': 'Price/sqft'}]}",,Oakland,"[{'rating': ['NR', 'NR', '5', 'NR', '4', 'NR', 'NR', 'NR'], 'data': {'Distance': ['2.3 mi', '1.9 mi', '3.0 mi', '2.6 mi', '12.2 mi', '2.0 mi', '2.0 mi', '3.6 mi'], 'Grades': ['PK–3', '6–8', '9–12', '1–8', '5–8', '9–11', 'K–12', 'K–12']}, 'name': ['Ralph M Atwood Primary School', 'Messalonskee Middle School', 'Messalonskee High School', 'Williams Elementary School', 'China Middle School', 'Snow Pond Arts Academy School', 'K12 International Academy  Private School', 'Central Maine Learning Center Private School']}]",824,4963,2.0,ME,,,,1406332,"$169,000"
Active,,Traditional,292 Clifton Bay Loop ,,"{'atAGlanceFacts': [{'factValue': '2019', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '4,830 Sq. Ft.', 'factLabel': 'lotsize'}, {'factValue': '$189 / Sq. Ft.', 'factLabel': 'Price/sqft'}]}",,St Johns,"[{'rating': ['10', 'NR', 'NR', '9'], 'data': {'Distance': ['7.9 mi', '13.4 mi', '13.4 mi', '2.5 mi'], 'Grades': ['Preschool to 5', 'K to 9', '6 to 12', '9 to 12']}, 'name': ['Ocean Palms Elementary School', 'First Coast Technical Institute', 'St. Johns Technical High School', 'Allen D Nease Senior High School']}]","1,951",32259,,FL,,,,1014971,"368,985"
for sale,,multi-family,302 Crescent Dr,2 Baths,"{'atAGlanceFacts': [{'factValue': '1967', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Wall', 'factLabel': 'Heating'}, {'factValue': 'Wall', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '0.34 acres', 'factLabel': 'lotsize'}, {'factValue': '$37/sqft', 'factLabel': 'Price/sqft'}]}",,Pensacola,"[{'rating': ['2/10', '3/10', '3/10'], 'data': {'Distance': ['3.16mi', '0.89mi', '2.98mi'], 'Grades': ['6-8', 'PK-5', '9-12']}, 'name': ['J. H. Workman Middle School', 'O. J. Semmes Elementary School', 'Washington Senior High School']}]","3,000 sqft",32503,3 Beds,FL,1.0,,,564655,"$110,000"
New construction,,Single Family,1007 Valley Rose Way,4,"{'atAGlanceFacts': [{'factValue': '2019', 'factLabel': 'Year built'}, {'factValue': None, 'factLabel': 'Remodeled year'}, {'factValue': 'No Data', 'factLabel': 'Heating'}, {'factValue': 'No Data', 'factLabel': 'Cooling'}, {'factValue': '2 spaces', 'factLabel': 'Parking'}, {'factValue': 'No Data', 'factLabel': 'lotsize'}, {'factValue': '$148', 'factLabel': 'Price/sqft'}]}",,Durham,"[{'rating': ['4/10', '2/10', '4/10'], 'data': {'Distance': ['1.4 mi', '3.3 mi', '1.3 mi'], 'Grades': ['PK-5', '6-8', '9-12']}, 'name': ['Hillandale Elementary', 'Brogden Middle', 'Riverside High School']}]","3,614",27712,5,NC,2.0,,,,"$534,990"
for sale,,single-family home,1524 Grace Ave,,"{'atAGlanceFacts': [{'factValue': '1905', 'factLabel': 'Year built'}, {'factValue': '1962', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Wall, None', 'factLabel': 'Cooling'}, {'factValue': 'Detached Garage', 'factLabel': 'Parking'}, {'factValue': '6,750 sqft', 'factLabel': 'lotsize'}, {'factValue': '$90/sqft', 'factLabel': 'Price/sqft'}]}",yes,Lakewood,"[{'rating': ['5/10', '4/10', '6/10'], 'data': {'Distance': ['0.33mi', '0.43mi', '0.58mi'], 'Grades': ['6-8', 'PK-5', '9-12']}, 'name': ['Garfield Middle School', 'Harrison Elementary School', 'Lakewood High School']}]","2,832 sqft",44107,4 Beds,OH,2.0,,,4153503,"$253,900"
Pre-foreclosure,,Single Family,3100 NW 43rd Pl,,"{'atAGlanceFacts': [{'factValue': '1995', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '2 spaces', 'factLabel': 'Parking'}, {'factValue': '0.29 acres', 'factLabel': 'lotsize'}, {'factValue': '', 'factLabel': 'Price/sqft'}]}",,Oakland Park,"[{'rating': ['2/10', '3/10', '3/10'], 'data': {'Distance': ['0.4 mi', '0.4 mi', '0.2 mi'], 'Grades': ['PK-5', '6-8', '9-12']}, 'name': ['Oriole Elementary School', 'Lauderdale Lakes Middle School', 'Boyd H. Anderson High School']}]",,33309,3 bd,FL,,,,,"$273,166"
Active,,Single Detached,1557 Harris Ct ,"3,000","{'atAGlanceFacts': [{'factValue': '1926', 'factLabel': 'Year built'}, {'factValue': '1926', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': 'No A/C, No Heat', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '3,071 Sq. Ft.', 'factLabel': 'lotsize'}, {'factValue': '$94 / Sq. Ft.', 'factLabel': 'Price/sqft'}]}",,Dallas,"[{'rating': ['4', '3', '1', '10'], 'data': {'Distance': ['0.5 mi', '1.3 mi', '1.1 mi', '0.8 mi'], 'Grades': ['Preschool to 5', '6 to 8', '9 to 12', '9 to 12']}, 'name': ['Oran M Roberts Elementary School', 'Billy Earl Dade Middle School', 'James Madison High School', ""Irma Lerma Rangel Young Women's Leadership School""]}]",800,75223,Baths,TX,,,,14231864,"75,000"
for sale,,townhouse,8217 Cotton Belt Ln,2.5 Baths,"{'atAGlanceFacts': [{'factValue': '', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '', 'factLabel': 'lotsize'}, {'factValue': '$160/sqft', 'factLabel': 'Price/sqft'}]}",,North Richland Hills,"[{'rating': ['9/10', '10/10', '7/10'], 'data': {'Distance': ['0.39mi', '0.44mi', '1.17mi'], 'Grades': ['PK-5', '6-8', '9-12']}, 'name': ['Smithfield Elementary School', 'Smithfield Middle School', 'Birdville High School']}]","1,921 sqft",76182,3 Beds,TX,2.0,,,,"$306,740"
Active,,Ranch,1107 Iroquois Ave ,"2,250","{'atAGlanceFacts': [{'factValue': '1950', 'factLabel': 'Year built'}, {'factValue': '1965', 'factLabel': 'Remodeled year'}, {'factValue': 'Central Air', 'factLabel': 'Heating'}, {'factValue': 'Has Cooling', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '7,200 Sq. Ft.', 'factLabel': 'lotsize'}, {'factValue': '$118 / Sq. Ft.', 'factLabel': 'Price/sqft'}]}",,Mayfield Heights,"[{'rating': ['7', 'NR', 'NR', 'NR', '8'], 'data': {'Distance': ['0.3 mi', '0.4 mi', '0.6 mi', '0.9 mi', '0.8 mi'], 'Grades': ['K to 5', '1 to 5', 'Preschool to 8', 'K to 8', '8 to 12']}, 'name': ['Millridge Elementary School', 'Millridge Hearing Center', 'St Clare School', 'St. Paschal Baylon School', 'Mayfield High School']}]","1,188",44124,Baths,OH,,,,4143919,"139,900"
Active,,Single Family Home,1968 The Oaks Blvd,2,"{'atAGlanceFacts': [{'factValue': '2003', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Central', 'factLabel': 'Heating'}, {'factValue': 'Central Air', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '8407', 'factLabel': 'lotsize'}, {'factValue': '$126', 'factLabel': 'Price/sqft'}]}",,Kissimmee,"[{'rating': ['3', '5', '3', '4', '4', '3', 'NR', 'NR'], 'data': {'Distance': ['1.6 mi', '2.6 mi', '6.2 mi', '2.3 mi', '3.7 mi', '2.5 mi', '1.6 mi', '1.6 mi'], 'Grades': ['PK–5', '6–8', 'PK–12', 'K–5', 'PK–8', '9–12', 'PK–8', 'PK–7']}, 'name': ['Pleasant Hill Elementary School', 'Horizon Middle School', 'Liberty High School', 'Sunrise Elementary School', 'Mater Brighton Lakes School', 'Osceola High School', 'Peace Lutheran Private School', 'Peace Lutheran Private School']}]",2101,34746,4,FL,1,,,S5025612,"$264,000"
for sale,,coop,125 E 4th St #24,,"{'atAGlanceFacts': [{'factValue': '1905', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '', 'factLabel': 'lotsize'}, {'factValue': '$768/sqft', 'factLabel': 'Price/sqft'}]}",,New York,"[{'rating': ['6/10', '5/10', '6/10', 'None/10', '5/10', '6/10', '7/10', '3/10', '9/10', '3/10', '3/10', '3/10', '6/10', '7/10', '4/10', '3/10', '8/10', '4/10', '10/10', '3/10', '4/10'], 'data': {'Distance': ['0.33mi', '0.54mi', '0.35mi', '0.11mi', '0.33mi', '0.5mi', '0.5mi', '0.67mi', '0.99mi', '0.85mi', '0.85mi', '0.39mi', '0.53mi', '0.34mi', '0.32mi', '0.66mi', '0.11mi', '0.33mi', '0.82mi', '0.82mi', '0.5mi'], 'Grades': ['6-8', 'PK-5', '6-12', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-8', 'PK-8', '5-8', '9-12', '6-8', 'PK-5', 'PK-5', 'PK-5', 'PK-8', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-8']}, 'name': ['Tompkins Square Middle School', 'Ps 142 Amalia Castro', 'East Side Community School', 'Neighborhood School', 'Earth School', ""The Children's Workshop School"", 'The East Village Community School', 'Ps 188 The Island School', 'Ps 184 Shuang Wen', 'University Neighborhood Middle School', 'Henry Street School For International Studies', 'School For Global Leaders', 'Ps 15 Roberto Clemente', 'Ps 19 Asher Levy', 'Ps 20 Anna Silver', 'Ps 34 Franklin D Roosevelt', 'S.T.A.R. Academy - PS 63', 'Ps 64 Robert Simon', 'Ps 110 Florence Nightingale', 'Ps 134 Henrietta Szold', 'Ps 140 Nathan Straus']}]",650 sqft,10003,2 Beds,NY,6.0,,,4040914,"$499,000"
for sale,,condo,164 S Coeur Dalene St #C207,2 Baths,"{'atAGlanceFacts': [{'factValue': '1986', 'factLabel': 'Year built'}, {'factValue': '1986', 'factLabel': 'Remodeled year'}, {'factValue': 'Baseboard', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': 'Carport', 'factLabel': 'Parking'}, {'factValue': '1110 sqft', 'factLabel': 'lotsize'}, {'factValue': '$215/sqft', 'factLabel': 'Price/sqft'}]}",yes,Spokane,"[{'rating': ['7/10', '5/10', '7/10'], 'data': {'Distance': ['1.43mi', '1.79mi', '2.99mi'], 'Grades': ['9-12', 'PK-6', '7-8']}, 'name': ['Lewis & Clark High School', 'Roosevelt Elementary School', 'Sacajawea Middle School']}]","1,114 sqft",99201,2 Beds,WA,3.0,,,201921291,"$239,900"
Pending,,Multi-Family Home,5133 Almaden Dr,1,"{'atAGlanceFacts': [{'factValue': '1912', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Wall Furnace', 'factLabel': 'Heating'}, {'factValue': 'Wall/Window Unit(s)', 'factLabel': 'Cooling'}, {'factValue': '2', 'factLabel': 'Parking'}, {'factValue': '5000', 'factLabel': 'lotsize'}, {'factValue': '$578', 'factLabel': 'Price/sqft'}]}",,Highland Park,"[{'rating': ['5', '6', 'NR', '6', '6', '7', 'NR', 'NR'], 'data': {'Distance': ['0.4 mi', '0.6 mi', '0.5 mi', '0.5 mi', '1.2 mi', '0.6 mi', '0.6 mi', '0.9 mi'], 'Grades': ['K–6', '6–12', '9–12', 'K–6', '6–8', '7–12', '1–6', '7–12']}, 'name': ['Buchanan Street Elementary School', 'Benjamin Franklin Senior High School', 'Highland Park Continuation School', 'Yorkdale Elementary School', 'Luther Burbank Middle School', 'Eagle Rock High School', 'Grace Christian Academy Private School', 'Optimist Private School']}]",1556,90042,1,CA,,,,CV19256843,"$899,000"
,,Condo,8869 Sandusky Ave S,1.0,"{'atAGlanceFacts': [{'factValue': '1981', 'factLabel': 'Year built'}, {'factValue': '1981', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '1 space', 'factLabel': 'Parking'}, {'factValue': None, 'factLabel': 'lotsize'}, {'factValue': '$140', 'factLabel': 'Price/sqft'}]}",,Jacksonville,"[{'rating': ['5/10', '2/10', '4/10'], 'data': {'Distance': ['0.7 mi', '2.5 mi', '3.1 mi'], 'Grades': ['PK-5', '6-8', '9-12']}, 'name': ['Southside Estates Elementary School', 'Southside Middle School', 'Englewood High School']}]",896 sqft,32216,2,FL,1,,,1026359,"$125,000"
For sale,,Single Family,4106 W Vasconia St,4,"{'atAGlanceFacts': [{'factValue': '2019', 'factLabel': 'Year built'}, {'factValue': '2019', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '3 spaces', 'factLabel': 'Parking'}, {'factValue': '9,300 sqft', 'factLabel': 'lotsize'}, {'factValue': '$354', 'factLabel': 'Price/sqft'}]}",,Tampa,"[{'rating': ['10/10', '9/10', '8/10'], 'data': {'Distance': ['1 mi', '1 mi', '0.9 mi'], 'Grades': ['PK-5', '6-8', '9-12']}, 'name': ['Mabry Elementary School', 'Coleman Middle School', 'Plant High School']}]","3,950",33629,5,FL,2.0,,,T3210070,"$1,399,000"
for sale,,condo,10 Perimeter Summit Blvd NE #3411,,"{'atAGlanceFacts': [{'factValue': '2005', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '1', 'factLabel': 'Parking'}, {'factValue': '', 'factLabel': 'lotsize'}, {'factValue': '$216/sqft', 'factLabel': 'Price/sqft'}]}",,Brookhaven,"[{'rating': ['7/10', '7/10', '7/10'], 'data': {'Distance': ['2.17mi', '0.53mi', '2.04mi'], 'Grades': ['9-12', 'PK-5', '6-8']}, 'name': ['Chamblee Charter High School', 'Montgomery Elementary School', 'Chamblee Middle School']}]",648 sqft,30319,,GA,1.0,,,8686243,"$139,900"
Active,,Single Family Home,9470 Lancaster Rd. SW,2,"{'atAGlanceFacts': [{'factValue': '', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': None, 'factLabel': 'lotsize'}, {'factValue': '$98', 'factLabel': 'Price/sqft'}]}",,Hebron,"[{'rating': ['NR', '4', '4', '5'], 'data': {'Distance': ['2.0 mi', '4.9 mi', '5.2 mi', '5.0 mi'], 'Grades': ['PK–2', '6–8', '9–12', '3–5']}, 'name': ['Hebron Elementary School', 'Lakewood Middle School', 'Lakewood High School', 'Jackson Intermediate School']}]","1,944",43025,3.0,OH,,,,161187193,"$189,650"
for sale,,single-family home,19051 Genesee Rd,2 Baths,"{'atAGlanceFacts': [{'factValue': '1952', 'factLabel': 'Year built'}, {'factValue': '1968', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '10,350 sqft', 'factLabel': 'lotsize'}, {'factValue': '$69/sqft', 'factLabel': 'Price/sqft'}]}",yes,Euclid,"[{'rating': ['2/10', '4/10', '3/10'], 'data': {'Distance': ['3.23mi', '0.91mi', '2.82mi'], 'Grades': ['K-6', '6-9', '8-12']}, 'name': ['Indian Hills Elementary School', 'Euclid Central Middle School', 'Euclid High School']}]","2,030 sqft",44117,4 Beds,OH,1.0,,,4127124,"$139,900"
for sale,,multi-family,2436 George Ave S #2438,2 Baths,"{'atAGlanceFacts': [{'factValue': '2004', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '0.29 acres', 'factLabel': 'lotsize'}, {'factValue': '$111/sqft', 'factLabel': 'Price/sqft'}]}",,Lehigh Acres,"[{'rating': ['4/10', '2/10', '3/10', '2/10', '3/10', '6/10', '2/10', '2/10', '5/10', '5/10', '5/10', '4/10', '3/10', '5/10', '4/10', '2/10', '5/10', '5/10', '3/10', '3/10', '3/10', '5/10', '3/10', '3/10'], 'data': {'Distance': ['3.86mi', '9.15mi', '7.44mi', '5.72mi', '2.94mi', '9.81mi', '7.47mi', '7.16mi', '6.47mi', '7.29mi', '6.69mi', '6.81mi', '3.47mi', '1.73mi', '1.92mi', '8.19mi', '6.63mi', '2.14mi', '5.77mi', '6.4mi', '5.75mi', '2.39mi', '3.85mi', '3.85mi'], 'Grades': ['PK-5', '9-12', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', '9-12', 'PK-5', '6-8', 'PK-5', 'PK-5', '9-12', 'PK-5', 'PK-8', '6-8', 'PK-5', 'PK-5', '6-8', 'PK-5', '6-8', '6-8']}, 'name': ['Harns Marsh Elementary School', 'East Lee County High School', 'River Hall Elementary School', 'Manatee Elementary School', 'Treeline Elementary School', 'Bayshore Elementary School', 'Edgewood Academy', 'Lehigh Elementary School', 'Orange River Elementary School', 'Riverdale High School', 'Tice Elementary School', 'Lehigh Acres Middle School', 'Sunshine Elementary School', 'Gateway Elementary School', 'Lehigh Senior High School', 'Mirror Lakes Elementary School', 'Veterans Park Academy For The Arts', 'Varsity Lakes Middle School', 'G. Weaver Hipps Elementary School', 'James Stephens International Academy', 'Oak Hammock Middle School', 'Tortuga Preserve Elementary School', 'Harns Marsh Middle School', 'Harns Marsh Middle School']}]","2,250 sqft",33973,3 Beds,FL,1.0,,,219068364,"$249,900"
Active,,English,1620 South Blvd ,,"{'atAGlanceFacts': [{'factValue': '1929', 'factLabel': 'Year built'}, {'factValue': '1929', 'factLabel': 'Remodeled year'}, {'factValue': 'Central Electric, Zoned', 'factLabel': 'Heating'}, {'factValue': 'Central Gas, Zoned', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '0.39 Acres', 'factLabel': 'lotsize'}, {'factValue': '$494 / Sq. Ft.', 'factLabel': 'Price/sqft'}]}",1,Houston,"[{'rating': ['7', '10', '5'], 'data': {'Distance': ['0.5 mi', '1.1 mi', '1.8 mi'], 'Grades': ['Preschool to 5', '6 to 8', '9 to 12']}, 'name': ['Poe Elementary School', 'Lanier Middle School', 'Lamar High School']}]","4,559",77006,,TX,2,,,42453240,"2,250,000"
Active,,Single Family Home,31841 Washington Loop Rd,3.5,"{'atAGlanceFacts': [{'factValue': '2003', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Central, Electric', 'factLabel': 'Heating'}, {'factValue': 'Central Air', 'factLabel': 'Cooling'}, {'factValue': 'Circular Driveway', 'factLabel': 'Parking'}, {'factValue': '113091', 'factLabel': 'lotsize'}, {'factValue': '$86', 'factLabel': 'Price/sqft'}]}",Living Room,Punta Gorda,"[{'rating': ['6', '5', '7', '6', '7', '10'], 'data': {'Distance': ['6.0 mi', '8.0 mi', '8.3 mi', '5.2 mi', '9.2 mi', '7.4 mi'], 'Grades': ['PK–5', '6–8', '9–12', 'PK–5', '6–8', '9–12']}, 'name': ['East Elementary School', 'Punta Gorda Middle School', 'Charlotte High School', 'Deep Creek Elementary School', 'Port Charlotte Middle School', 'Florida SouthWestern Collegiate HS-Charlotte School']}]",2992,33982,4,FL,1,,,C7419675,"$258,000"
Active,,Single Family Home,7103 72nd Street Ct SW,2.5,"{'atAGlanceFacts': [{'factValue': '1990', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '10454', 'factLabel': 'lotsize'}, {'factValue': '$219', 'factLabel': 'Price/sqft'}]}",1,Lakewood,"[{'rating': ['4', '6', '6', '4', 'NR', 'NR', 'NR', 'NR'], 'data': {'Distance': ['0.9 mi', '0.6 mi', '2.9 mi', '0.6 mi', '1.3 mi', '1.3 mi', '0.9 mi', '1.1 mi'], 'Grades': ['PK–5', '6–8', '9–12', 'PK–5', '6–8', '9–12', 'PK–12', 'K–8']}, 'name': ['Oakbrook Elementary School', 'Hudtloff Middle School', 'Lakes High School', 'Dower Elementary School', 'Re-Entry Middle School', 'Re-Entry High School', 'Charles Wright Academy Private School', 'Heritage Christian Private School']}]",2191,98498,4.0,WA,,,,1536803,"$479,950"
for sale,,single-family home,19395 Fairport St,,"{'atAGlanceFacts': [{'factValue': '1949', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Detached Garage', 'factLabel': 'Parking'}, {'factValue': '3,920 sqft', 'factLabel': 'lotsize'}, {'factValue': '$43/sqft', 'factLabel': 'Price/sqft'}]}",,Detroit,"[{'rating': ['4/10', '4/10', '4/10', '4/10', '3/10', '2/10', '2/10', '2/10', '6/10', '2/10', '1/10', '2/10', '3/10', '3/10', '2/10'], 'data': {'Distance': ['11.3mi', '10.28mi', '7.12mi', '7.7mi', '6.77mi', '9.77mi', '14.16mi', '0.45mi', '8.73mi', '0.68mi', '0.68mi', '0.68mi', '5.94mi', '2.15mi', '7.72mi'], 'Grades': ['9-12', 'K-8', '9-12', '9-12', 'K-8', '5-8', '5-8', 'K-8', 'K-8', '9-12', '9-12', '9-12', 'K-12', 'K-8', '6-12']}, 'name': ['Communication And Media Arts High School', 'Foreign Language Immersion And Cultural Studies', 'Detroit School of Arts', 'Cass Technical High School', 'Spain Elementary-Middle School', 'Clippert Academy', 'Ludington Magnet Middle School', 'Pulaski Elementary-Middle School', 'Bates Academy', 'Osborn College Preparatory Academy', 'Osborn Evergreen Academy Of Design And Alternative', 'Osborn Academy Of Mathematics', 'Detroit International Academy For Young Women', ""Edward 'Duke' Ellington @ Beckham"", 'Douglass Academy For Young Men']}]",993 sqft,48205,3 Beds,MI,1.0,,,219066125,"$42,900"
for sale,,condo,6525 La Mirada Ave #110,2 Baths,"{'atAGlanceFacts': [{'factValue': '1982', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '0.27 acres', 'factLabel': 'lotsize'}, {'factValue': '$532/sqft', 'factLabel': 'Price/sqft'}]}",yes,Los Angeles,"[{'rating': ['3/10', '6/10', '2/10'], 'data': {'Distance': ['0.46mi', '0.5mi', '0.48mi'], 'Grades': ['6-8', '9-12', 'K-6']}, 'name': ['Hubert Howe Bancroft Middle School', 'Hollywood Senior High School', 'Vine Street Elementary School']}]","1,184 sqft",90038,2 Beds,CA,2.0,,,219031528,"$630,000"
,,Single Family,453 88th Ave N,2.0,"{'atAGlanceFacts': [{'factValue': '1977', 'factLabel': 'Year built'}, {'factValue': '1988', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'No Data', 'factLabel': 'Parking'}, {'factValue': '6,303 sqft', 'factLabel': 'lotsize'}, {'factValue': '$165', 'factLabel': 'Price/sqft'}]}",,Saint Petersburg,"[{'rating': ['5/10'], 'data': {'Distance': ['2.2 mi'], 'Grades': ['PK-12']}, 'name': ['Northeast High School']}]",972,33702,2,FL,0,,,U8065846,"$160,000"
,,Condo,1898 Shore Dr S APT 218,1.0,"{'atAGlanceFacts': [{'factValue': '1967', 'factLabel': 'Year built'}, {'factValue': '1977', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'None', 'factLabel': 'Parking'}, {'factValue': None, 'factLabel': 'lotsize'}, {'factValue': '$177', 'factLabel': 'Price/sqft'}]}",,South Pasadena,"[{'rating': ['2/10', '2/10', '4/10'], 'data': {'Distance': ['1.7 mi', '2.9 mi', '1.8 mi'], 'Grades': ['PK-5', '6-8', '9-12']}, 'name': ['Bear Creek Elementary School', 'Azalea Middle School', 'Boca Ciega High School']}]",840,33707,1,FL,3,,Yes,U8067025,"$149,000"
